year,fuel,MBtu,kBtu
2014,Electricity Use,8537782,8537782081
2015,Electricity Use,8359663,8359663002
2016,Electricity Use,8304243,8304242622
2017,Electricity Use,8298641,8298641101
2018,Electricity Use,7959229,7959229054
2019,Electricity Use,7784089,7784088576
2014,Electricity Use (WN),8553201,8553201036
2015,Electricity Use (WN),8349699,8349698774
2016,Electricity Use (WN),8324567,8324566721
2017,Electricity Use (WN),8153019,8153019185
2018,Electricity Use (WN),7917754,7917753655
2019,Electricity Use (WN),7634363,7634363216
2014,Gas and Steam Use,3803654,3803654747
2015,Gas and Steam Use,3560350,3560349875
2016,Gas and Steam Use,3632357,3632356850
2017,Gas and Steam Use,3983263,3983262699
2018,Gas and Steam Use,3763745,3763744935
2019,Gas and Steam Use,3858704,3858703797
2014,Gas and Steam Use (WN),4181402,4181401287
2015,Gas and Steam Use (WN),4061187,4061187488
2016,Gas and Steam Use (WN),3932077,3932076540
2017,Gas and Steam Use (WN),3860031,3860031318
2018,Gas and Steam Use (WN),3845548,3845547777
2019,Gas and Steam Use (WN),3861988,3861987989
